Phase,Model,Resampling,Accuracy,Precision,Recall,F1-Score,AUC-ROC,False Negatives,False Positives
Phase 1,Random Forest (RF),None,92.08,33.33,2.35,4.4,58.33,83,4
Phase 1,Support Vector Machine (SVM),None,92.27,0.0,0.0,0.0,50.89,85,0
Phase 1,k-Nearest Neighbour (KNN),None,92.27,50.0,1.18,2.3,53.98,84,1
Phase 1,Naive Bayes (NB),None,12.56,7.72,94.12,14.27,49.03,5,956
Phase 1,Multilayer Perceptron (MLP),None,90.17,12.9,4.71,6.9,48.13,81,27
Phase 2,Random Forest (RF),,92.08,33.33,2.35,4.4,58.33,83,4
Phase 2,Support Vector Machine (SVM),,92.27,0.0,0.0,0.0,50.89,85,0
Phase 2,k-Nearest Neighbour (KNN),,92.27,50.0,1.18,2.3,53.98,84,1
Phase 2,Naive Bayes (NB),,12.56,7.72,94.12,14.27,49.03,5,956
Phase 2,Multilayer Perceptron (MLP),,90.17,12.9,4.71,6.9,48.13,81,27
Phase 2,Random Forest (RF),SMOTE-Tomek,88.17,14.29,10.59,12.16,56.71,76,54
Phase 2,Support Vector Machine (SVM),SMOTE-Tomek,64.24,6.74,28.24,10.88,46.18,61,332
Phase 2,k-Nearest Neighbour (KNN),SMOTE-Tomek,71.43,8.96,29.41,13.74,52.9,60,254
Phase 2,Naive Bayes (NB),SMOTE-Tomek,13.83,7.66,91.76,14.14,48.37,7,940
Phase 2,Multilayer Perceptron (MLP),SMOTE-Tomek,83.26,9.76,14.12,11.54,45.37,73,111
Phase 2,XGBoost,,92.27,0.0,0.0,0.0,52.98,85,0
Phase 2,XGBoost,SMOTE-Tomek,89.26,14.89,8.24,10.61,53.52,78,40
Phase 3,RF+XGBoost Ensemble,SMOTE-Tomek,89.44,13.95,7.06,9.38,55.64,79,37
